,base_market,quote_market,hedge_ratio,half_life
0,UMA-USD,ZEC-USD,0.08538230320489686,23.0
1,UMA-USD,XMR-USD,0.013203090898313998,12.0
2,UMA-USD,FIL-USD,0.3313748651311943,18.0
3,SOL-USD,DOGE-USD,1188.0384021076522,11.0
4,ZEC-USD,FIL-USD,3.872811497638244,23.0
5,AAVE-USD,YFI-USD,0.013346325920025194,16.0
6,AAVE-USD,MATIC-USD,118.21908037480729,11.0
7,AAVE-USD,DOT-USD,13.544047918046628,7.0
8,AAVE-USD,ZRX-USD,308.44000859546907,7.0
9,AAVE-USD,SUSHI-USD,90.39516016290742,22.0
10,AAVE-USD,AVAX-USD,2.8187026694118753,10.0
11,AAVE-USD,SNX-USD,28.627664647247727,7.0
12,AAVE-USD,UNI-USD,15.661619583124779,22.0
13,AAVE-USD,XLM-USD,859.996224782398,16.0
14,AAVE-USD,ATOM-USD,10.229426795763228,10.0
15,LINK-USD,COMP-USD,0.26515822195706545,21.0
16,BCH-USD,YFI-USD,0.03219238428991017,13.0
17,BCH-USD,LTC-USD,3.6454490866736204,12.0
18,XMR-USD,CRV-USD,274.0569549977412,16.0
19,XMR-USD,ZRX-USD,460.57728383483067,12.0
20,YFI-USD,SNX-USD,2143.1271677575546,16.0
21,YFI-USD,LTC-USD,113.1907561330064,12.0
22,DOGE-USD,FIL-USD,0.013387831551281317,24.0
23,DOGE-USD,SUSHI-USD,0.07207667424802416,23.0
24,DOGE-USD,XLM-USD,0.685959859460184,11.0
25,DOGE-USD,ATOM-USD,0.008157112177071815,12.0
26,ICP-USD,ALGO-USD,63.55387905385986,21.0
27,ICP-USD,FIL-USD,2.0848912426217736,23.0
28,ICP-USD,MATIC-USD,14.65148874076886,17.0
29,ICP-USD,TRX-USD,122.25911248319693,14.0
30,ICP-USD,CRV-USD,22.762707410570947,15.0
31,ICP-USD,NEAR-USD,3.6672805178833023,13.0
32,ICP-USD,DOT-USD,1.6799444701597734,14.0
33,ICP-USD,BTC-USD,0.0002951161804850233,18.0
34,ICP-USD,CELO-USD,17.19666416944527,13.0
35,ICP-USD,1INCH-USD,28.271450352270147,19.0
36,ICP-USD,ADA-USD,23.331358693304054,14.0
37,ICP-USD,ENJ-USD,38.92178568530698,20.0
38,ICP-USD,ZRX-USD,38.25505353984139,15.0
39,ICP-USD,SUSHI-USD,11.194921489009019,19.0
40,ICP-USD,AVAX-USD,0.349798080125465,12.0
41,ICP-USD,SNX-USD,3.5488168067642167,18.0
42,ICP-USD,UNI-USD,1.9392596696537607,19.0
43,ICP-USD,XLM-USD,106.72406833060023,14.0
44,ICP-USD,EOS-USD,16.71542711886547,17.0
45,ICP-USD,ATOM-USD,1.2694843583381719,14.0
46,ICP-USD,LTC-USD,0.1873809495170883,17.0
47,MATIC-USD,DOT-USD,0.1145380134608079,12.0
48,MATIC-USD,ZRX-USD,2.6085720201550413,9.0
49,CRV-USD,NEAR-USD,0.160881127527232,9.0
50,NEAR-USD,ADA-USD,6.3636112098390205,11.0
51,NEAR-USD,ENJ-USD,10.628565210270962,22.0
52,DOT-USD,ADA-USD,13.887911918226402,5.0
53,DOT-USD,AVAX-USD,0.2081121137750555,5.0
54,DOT-USD,ATOM-USD,0.7551084991039356,15.0
55,1INCH-USD,ATOM-USD,0.044768361965412666,20.0
56,ADA-USD,AVAX-USD,0.014983998620125135,6.0
57,ADA-USD,ATOM-USD,0.05436590865952763,18.0
58,ENJ-USD,SUSHI-USD,0.28742006661905023,12.0
59,ZRX-USD,SUSHI-USD,0.2929087593851434,24.0
60,ZRX-USD,SNX-USD,0.09276421013185027,9.0
61,ZRX-USD,UNI-USD,0.05075500725053568,15.0
62,ZRX-USD,EOS-USD,0.4370094193320982,8.0
63,ZRX-USD,ATOM-USD,0.03315318470196919,9.0
64,SUSHI-USD,AVAX-USD,0.03113934590687727,22.0
65,AVAX-USD,ATOM-USD,3.6279860598456017,9.0
